,EPAREGION,"State,County",State,County,County_with_county_appended,Risk,Governance,Built Environment,Natural Environment,Society,CRSI
197,3,"Pennsylvania,Crawford",Pennsylvania,Crawford,Crawford County,0.173,0.814,0.461,0.443,0.462,6
198,3,"Pennsylvania,Cumberland",Pennsylvania,Cumberland,Cumberland County,0.508,0.752,0.533,0.37,0.549,2.286
199,3,"Pennsylvania,Dauphin",Pennsylvania,Dauphin,Dauphin County,0.534,0.759,0.524,0.37,0.558,2.171
200,3,"Pennsylvania,Delaware",Pennsylvania,Delaware,Delaware County,0.485,0.721,0.388,0.252,0.526,0.844
201,3,"Pennsylvania,Elk",Pennsylvania,Elk,Elk County,0.11,0.745,0.354,0.572,0.562,10.912
202,3,"Pennsylvania,Erie",Pennsylvania,Erie,Erie County,0.303,0.754,0.596,0.351,0.504,3.944
203,3,"Pennsylvania,Fayette",Pennsylvania,Fayette,Fayette County,0.226,0.703,0.532,0.352,0.445,3.795
204,3,"Pennsylvania,Forest",Pennsylvania,Forest,Forest County,0.097,0.832,0.263,0.59,0.369,7.325
205,3,"Pennsylvania,Franklin",Pennsylvania,Franklin,Franklin County,0.303,0.71,0.575,0.396,0.505,3.987
206,3,"Pennsylvania,Fulton",Pennsylvania,Fulton,Fulton County,0.09,0.813,0.357,0.394,0.427,6.388
207,3,"Pennsylvania,Greene",Pennsylvania,Greene,Greene County,0.144,0.794,0.409,0.29,0.386,2.462
208,3,"Pennsylvania,Huntingdon",Pennsylvania,Huntingdon,Huntingdon County,0.102,0.847,0.478,0.486,0.525,13.197
209,3,"Pennsylvania,Indiana",Pennsylvania,Indiana,Indiana County,0.18,0.766,0.565,0.323,0.386,4.578
210,3,"Pennsylvania,Jefferson",Pennsylvania,Jefferson,Jefferson County,0.156,0.819,0.427,0.403,0.512,6.12
211,3,"Pennsylvania,Juniata",Pennsylvania,Juniata,Juniata County,0.144,0.823,0.365,0.431,0.525,6.159
212,3,"Pennsylvania,Lackawanna",Pennsylvania,Lackawanna,Lackawanna County,0.418,0.762,0.439,0.359,0.546,2.122
213,3,"Pennsylvania,Lancaster",Pennsylvania,Lancaster,Lancaster County,0.389,0.722,0.741,0.391,0.578,4.604
214,3,"Pennsylvania,Lawrence",Pennsylvania,Lawrence,Lawrence County,0.225,0.773,0.283,0.346,0.553,2.062
215,3,"Pennsylvania,Lebanon",Pennsylvania,Lebanon,Lebanon County,0.402,0.725,0.38,0.391,0.55,1.941
216,3,"Pennsylvania,Lehigh",Pennsylvania,Lehigh,Lehigh County,0.505,0.746,0.556,0.316,0.513,2.006
217,3,"Pennsylvania,Luzerne",Pennsylvania,Luzerne,Luzerne County,0.405,0.755,0.65,0.378,0.522,3.559
218,3,"Pennsylvania,Lycoming",Pennsylvania,Lycoming,Lycoming County,0.167,0.82,0.599,0.453,0.524,9.376
