FIPS,p_all,p_blm,p_dod,p_doe,p_nps,p_usfs,p_usfws
36111,6.686726847208291e-4,0,0,0,0,0,6.686726847208291e-4
51079,0.13402061855670103,0,0,0,0.13402061855670103,0,0
54037,0.03900709219858156,0,0,0,0.03546099290780142,0,0.0035460992907801418
54057,0.0023094688221709007,0,0,0,0.0023094688221709007,0,0
51069,0.016651248843663275,0,0,0,0,0.016651248843663275,0
51165,0.3336409783110291,0,0,0,0.07660359944623904,0.25703737886479006,0
51171,0.21986353297952996,0,0,0,0,0.21986353297952996,0
38007,0.4551839464882943,0,0,0,0.06220735785953177,0.39297658862876256,0
20145,0.0010235414534288639,0,0,0,0.0010235414534288639,0,0
29189,0.0014705882352941176,0,0,0,0,0,0.0014705882352941176
51015,0.32210776545166403,0,0,0,0.028129952456418382,0.29397781299524567,0
21013,0.03946002076843198,0,0,0,0.03946002076843198,0,0
25009,0.01840056617126681,0,0,0,0,0,0.01840056617126681
22057,0,0,0,0,0,0,0
51001,0.09296320206584893,0,0,0,0.039380245319561004,0,0.05358295674628793
34037,0.07598566308243729,0,0,0,0.060215053763440864,0,0.015770609318996417
45021,0.01556420233463035,0,0,0,0.01556420233463035,0,0
39151,0,0,0,0,0,0,0
51087,0.01335559265442404,0,0,0,0.011686143572621035,0,0.001669449081803005
01071,0.0010384215991692627,0,0,0,3.4614053305642093e-4,0,6.922810661128419e-4
45047,0.041107382550335574,0,0,0,0.003355704697986577,0.037751677852348994,0
12021,0.07052341597796144,0,0,0,0.027180899908172636,0,0.0433425160697888
23025,0.001979264844486334,0,0,0,0.001979264844486334,0,0
34031,0,0,0,0,0,0,0
48043,0.1913265306122449,0,0,0,0.1913265306122449,0,0
45091,0.0016620498614958448,0,0,0,0.0016620498614958448,0,0
55007,0.28938744643307285,0,0,0,0.009326947315351651,0.2782959415175195,0.0017645576002016637
55003,0.3071559633027523,0,0,0,0.03779816513761468,0.2693577981651376,0
12089,0.004595060310166571,0,0,0,0.004595060310166571,0,0
26089,0.16849199663016007,0,0,0,0.16849199663016007,0,0
54063,0.07413376309427881,0,0,0,8.058017727639e-4,0.07332796132151491,0
36005,0,0,0,0,0,0,0
42077,0.0011049723756906078,0,0,0,0.0011049723756906078,0,0
48031,0,0,0,0,0,0,0
47059,0.1073170731707317,0,0,0,0,0.1073170731707317,0
48489,1.0083638264506012,0,0,0,0.009409304756926294,0,0.9989545216936748
55109,0.014136125654450262,0,0,0,0.0015706806282722514,0,0.012565445026178011
01123,0.004067107269954245,0,0,0,0.004067107269954245,0,0
22055,0,0,0,0,0,0,0
36059,0.016374269005847954,0,0,0,0,0,0.016374269005847954
24001,0.007259528130671506,0,0,0,0.007259528130671506,0,0
54027,0.010727056019070322,0,0,0,0.0023837902264600714,0.00834326579261025,0
23021,0.0049304455009684806,0,0,0,0.0049304455009684806,0,0
22051,0.05770536320434488,0,0,0,0.05770536320434488,0,0
09005,0.008585445625511038,0,0,0,0.008585445625511038,0,0
31103,0,0,0,0,0,0,0
37141,0,0,0,0,0,0,0
26061,0.23464509010665685,0,0,0,3.677822728944465e-4,0.2342773078337624,0
25021,0,0,0,0,0,0,0
23017,0.04304110072323161,0,0,0,0.0019403774916210972,0.035985182571882164,0.0051155406597283475
51105,0.07097933513027853,0,0,0,0.026954177897574125,0.0440251572327044,0
42011,0.003139013452914798,0,0,0,0.003139013452914798,0,0
27025,0.009623797025371828,0,0,0,0.009623797025371828,0,0
22097,4.182350480970305e-4,0,0,0,0,0,4.182350480970305e-4
25003,0.008529650690495532,0,0,0,0.008123476848090982,0,4.0617384240454913e-4
13121,0,0,0,0,0,0,0
23013,0.011339475549255847,0,0,0,0.011339475549255847,0,0
42051,0.001941747572815534,0,0,0,0.001941747572815534,0,0
51125,0.07357859531772575,0,0,0,0.005852842809364548,0.0677257525083612,0
20017,0,0,0,0,0,0,0
42095,0.0102880658436214,0,0,0,0.0102880658436214,0,0
36081,0.078125,0,0,0,0.078125,0,0
13127,0.0015873015873015873,0,0,0,7.936507936507937e-4,0,7.936507936507937e-4
42111,0.002517985611510791,0,0,0,0.002517985611510791,0,0
51161,0.040419161676646706,0,0,0,0.01347305389221557,0.02694610778443114,0
48243,3.413551800648575e-4,0,0,0,3.413551800648575e-4,0,0
51011,0.007658643326039387,0,0,0,0.007658643326039387,0,0
51187,0.15344827586206897,0,0,0,0.10344827586206896,0.05,0
42013,0.002207505518763797,0,0,0,0.002207505518763797,0,0
40099,0.035747021081576534,0,0,0,0.035747021081576534,0,0
36027,0.009442870632672332,0,0,0,0.009442870632672332,0,0
42029,0.002036659877800407,0,0,0,0.002036659877800407,0,0
42099,6.811989100817438e-4,0,0,0,6.811989100817438e-4,0,0
21061,0.22125,0,0,0,0.22125,0,0
10003,0.0024193548387096775,0,0,0,0.0024193548387096775,0,0
51045,0.5479289940828402,0,0,0,0.0035502958579881655,0.5443786982248521,0
51085,0.002527379949452401,0,0,0,0.002527379949452401,0,0
18127,0.04328223624887286,0,0,0,0.04328223624887286,0,0
51107,0.001486988847583643,0,0,0,0.001486988847583643,0,0
39153,0.0601640838650866,0,0,0,0.0601640838650866,0,0
39035,0.018596787827557058,0,0,0,0.018596787827557058,0,0
21129,0.062264150943396226,0,0,0,0,0.062264150943396226,0
29055,0.10369984366857739,0,0,0,0,0.10369984366857739,0
31105,0,0,0,0,0,0,0
29229,0.01638418079096045,0,0,0,0,0.01638418079096045,0
26107,0.009453072248480757,0,0,0,0,0.009453072248480757,0
20129,0.23056583818085669,0,0,0,0,0.23056583818085669,0
28153,0.17424242424242425,0,0,0,0,0.17424242424242425,0
51009,0.18332022029897718,0,0,0,0,0.18332022029897718,0
26123,0.20277529095792302,0,0,0,0,0.20277529095792302,0
47091,0.2617534942820839,0,0,0,0,0.2617534942820839,0
22127,0.18536389223964617,0,0,0,0,0.18536389223964617,0
26101,0.2451657458563536,0,0,0,0,0.2451657458563536,0
47139,0.5227077977720651,0,0,0,0,0.5227077977720651,0
45059,0.0500799147575919,0,0,0,0,0.0500799147575919,0
17003,0.19601837672281777,0,0,0,0,0.17304747320061256,0.022970903522205207
39087,0.2506437768240343,0,0,0,0,0.2506437768240343,0
18105,0.07156308851224105,0,0,0,0,0.07156308851224105,0
26103,0.01491317671092952,0,0,0,0,0.01491317671092952,0
12107,0.052093023255813956,0,0,0,0,0.05116279069767442,9.302325581395349e-4
13133,0.10164569215876089,0,0,0,0,0.10164569215876089,0
48147,0.03018707482993197,0,0,0,0,0.03018707482993197,0
45023,0.030921052631578946,0,0,0,0,0.030921052631578946,0
28009,0.21367521367521367,0,0,0,0,0.21367521367521367,0
21065,0.03255813953488372,0,0,0,0,0.03255813953488372,0
13129,0.036458333333333336,0,0,0,0,0.036458333333333336,0
54073,0.008823529411764706,0,0,0,0,0.0029411764705882353,0.0058823529411764705
26135,0.42375168690958165,0,0,0,0,0.41970310391363025,0.004048582995951417
13211,0.0010741138560687433,0,0,0,0,0.0010741138560687433,0
17087,0.08637873754152824,0,0,0,0,0.08305647840531562,0.0033222591362126247
26005,0,0,0,0,0,0,0
21143,0.25,0,0,0,0,0.25,0
21165,0.3574074074074074,0,0,0,0,0.3574074074074074,0
26085,0.30505050505050507,0,0,0,0,0.30505050505050507,0
37027,0.15317460317460319,0,0,0,0,0.15317460317460319,0
37057,0.002745367192862045,0,0,0,0,0.002745367192862045,0
45001,0.067629179331307,0,0,0,0,0.067629179331307,0
29009,0.10823988298391028,0,0,0,0,0.10823988298391028,0
47179,0.07825086306098965,0,0,0,0,0.07825086306098965,0
42053,0.4377797672336616,0,0,0,0,0.4377797672336616,0
48111,0.08027699410105155,0,0,0,0,0.08027699410105155,0
42083,0.20796812749003984,0,0,0,0,0.20796812749003984,0
47107,0.019538188277087035,0,0,0,0,0.019538188277087035,0
27007,0.037487335359675786,0,0,0,0,0.03305471124620061,0.004432624113475178
26031,0,0,0,0,0,0,0
05127,0.652948663555367,0,0,0,0,0.652948663555367,0
05149,0.3547061241265927,0,0,0,0,0.3510069872585286,0.0036991368680641184
39121,9.75609756097561e-4,0,0,0,0,9.75609756097561e-4,0
54093,0.4297520661157025,0,0,0,0,0.37006427915518825,0.05968778696051423
51580,0.07142857142857142,0,0,0,0,0.07142857142857142,0
01007,0.16292134831460672,0,0,0,0,0.15355805243445692,0.009363295880149813
28105,0.05852842809364549,0,0,0,0,8.361204013377926e-4,0.057692307692307696
40001,0.007362784471218206,0,0,0,0,0,0.007362784471218206
28109,0.018768046198267566,0,0,0,0,0.007699711260827719,0.011068334937439845
22027,0.040826612903225805,0,0,0,0,0.040826612903225805,0
29017,0.004990642545227698,0,0,0,0,0.004990642545227698,0
51720,0.1111111111111111,0,0,0,0,0.1111111111111111,0
29093,0.2775052557813595,0,0,0,0,0.2775052557813595,0
29223,0.1981981981981982,0,0,0,0,0.17867867867867868,0.01951951951951952
08035,0.2639709223080418,0,0,0,0,0.2639709223080418,0
39053,0.060211554109031735,0,0,0,0,0.060211554109031735,0
01133,0.22493887530562348,0,0,0,0,0.22493887530562348,0
12013,0.002652519893899204,0,0,0,0,0.002652519893899204,0
12117,0.0022522522522522522,0,0,0,0,0.0022522522522522522,0
28085,0.020942408376963352,0,0,0,0,0.020942408376963352,0
05137,0.15317011927181418,0,0,0,0,0.15317011927181418,0
37043,0.48825503355704697,0,0,0,0,0.48825503355704697,0
13143,0,0,0,0,0,0,0
28005,0.07692307692307693,0,0,0,0,0.07692307692307693,0
28157,0.05568053993250843,0,0,0,0,0.051181102362204724,0.0044994375703037125
13207,0.0019286403085824494,0,0,0,0,0.0019286403085824494,0
26049,0,0,0,0,0,0,0
28019,0.05114155251141553,0,0,0,0,0.05114155251141553,0
13221,0.013852813852813853,0,0,0,0,0.013852813852813853,0
01059,0.003582089552238806,0,0,0,0,0.003582089552238806,0
37111,0.23411662315056572,0,0,0,0,0.23411662315056572,0
20189,0.0021208907741251328,0,0,0,0,0.0021208907741251328,0
29153,0.08175779253960143,0,0,0,0,0.08175779253960143,0
21027,0,0,0,0,0,0,0
13159,0.15082644628099173,0,0,0,0,0.12396694214876033,0.026859504132231406
48211,8.460236886632825e-4,0,0,0,0,8.460236886632825e-4,0
55119,0.19585613760750586,0,0,0,0,0.19585613760750586,0
37151,0.01957905041605482,0,0,0,0,0.01957905041605482,0
51530,0.07142857142857142,0,0,0,0,0.07142857142857142,0
26133,0,0,0,0,0,0,0
28159,0.11704834605597965,0,0,0,0,0.06870229007633588,0.04834605597964377
12047,0.0014814814814814814,0,0,0,0,0.0014814814814814814,0
48497,0.03384872544922691,0,0,0,0,0.03384872544922691,0
21189,0.11133200795228629,0,0,0,0,0.11133200795228629,0
37199,0.1909196740395809,0,0,0,0,0.1909196740395809,0
13219,0.004149377593360996,0,0,0,0,0.004149377593360996,0
26129,0.06119704102219233,0,0,0,0,0.05447209145931405,0.006724949562878279
29213,0.15964391691394658,0,0,0,0,0.15964391691394658,0
37075,0.582687338501292,0,0,0,0,0.582687338501292,0
21125,0.21458863443596268,0,0,0,0,0.21458863443596268,0
21147,0.5247079964061097,0,0,0,0,0.5247079964061097,0
38073,0.08363148479427548,0,0,0,0,0.07602862254025045,0.007602862254025045
21051,0.25604670558799,0,0,0,0,0.25604670558799,0
30047,0.17970204841713222,0,0,0,0,0.16689944134078213,0.012802607076350093
29023,0.1067193675889328,0,0,0,0,0.1067193675889328,0
54031,0.14553686934023286,0,0,0,0,0.14553686934023286,0
54083,0.30939019827908715,0,0,0,0,0.30939019827908715,0
21235,0.1627088830255057,0,0,0,0,0.1627088830255057,0
05003,0.06558044806517312,0,0,0,0,0.0028513238289205704,0.06272912423625254
13213,0.23798358733880423,0,0,0,0,0.23798358733880423,0
26121,0.0373900293255132,0,0,0,0,0.0373900293255132,0
26131,0.33855072463768116,0,0,0,0,0.33855072463768116,0
30081,0.7335062408818285,0,0,0,0,0.7317231317879721,0.0017831090938563786
01125,0.01282782212086659,0,0,0,0,0.01282782212086659,0
13035,0.008658008658008658,0,0,0,0,0.008658008658008658,0
