"","EPAREGION","State","County","Risk","Governance","Built Environment","Natural Environment","Society","CRSI"
"161",3,"Maryland","Cecil","0.432",0.696,0.522,0.483,0.398,2.445
"162",3,"Maryland","Charles","0.484",0.788,0.562,0.524,0.565,3.483
"163",3,"Maryland","Dorchester","0.172",0.779,0.373,0.601,0.447,6.557
"164",3,"Maryland","Frederick","0.529",0.778,0.632,0.373,0.603,2.954
"165",3,"Maryland","Garrett","0.14",0.737,0.583,0.409,0.497,9.092
"166",3,"Maryland","Harford","0.465",0.726,0.513,0.485,0.531,2.856
"167",3,"Maryland","Howard","0.565",0.768,0.399,0.355,0.627,1.652
"168",3,"Maryland","Kent","0.19",0.717,0.428,0.555,0.492,6.265
"169",3,"Maryland","Montgomery","0.59",0.757,0.53,0.344,0.569,1.92
"170",3,"Maryland","Prince George's","0.704",0.768,0.565,0.368,0.61,1.961
"171",3,"Maryland","Queen Anne's","0.173",0.769,0.531,0.529,0.581,9.384
"172",3,"Maryland","Somerset","0.124",0.715,0.407,0.609,0.39,8.549
"173",3,"Maryland","St. Mary's","0.303",0.76,0.521,0.547,0.483,4.759
"174",3,"Maryland","Talbot","0.197",0.746,0.422,0.555,0.57,6.858
"175",3,"Maryland","Washington","0.47",0.709,0.549,0.419,0.497,2.505
"176",3,"Maryland","Wicomico","0.281",0.672,0.498,0.505,0.506,4.384
"177",3,"Maryland","Worcester","0.16",0.657,0.559,0.598,0.453,9.433
"178",3,"Pennsylvania","Adams","0.262",0.768,0.53,0.382,0.508,4.269
"179",3,"Pennsylvania","Allegheny","0.705",0.721,0.706,0.151,0.529,1.435
"180",3,"Pennsylvania","Armstrong","0.188",0.789,0.487,0.295,0.48,4.018
"181",3,"Pennsylvania","Beaver","0.36",0.757,0.43,0.29,0.497,1.646
"182",3,"Pennsylvania","Bedford","0.099",0.799,0.438,0.41,0.511,9.927
"183",3,"Pennsylvania","Berks","0.367",0.759,0.666,0.365,0.513,3.919
"184",3,"Pennsylvania","Blair","0.231",0.716,0.509,0.437,0.537,5.196
"185",3,"Pennsylvania","Bradford","0.129",0.831,0.512,0.349,0.473,7.642
"186",3,"Pennsylvania","Bucks","0.521",0.752,0.724,0.318,0.634,3.28
"187",3,"Pennsylvania","Butler","0.413",0.763,0.476,0.32,0.587,2.35
"188",3,"Pennsylvania","Cambria","0.165",0.785,0.58,0.388,0.587,8.685
"189",3,"Pennsylvania","Cameron","0.107",0.882,0.214,0.584,0.467,7.528
"190",3,"Pennsylvania","Carbon","0.164",0.77,0.401,0.416,0.515,5.32
"191",3,"Pennsylvania","Centre","0.201",0.74,0.612,0.43,0.497,6.987
"192",3,"Pennsylvania","Chester","0.48",0.753,0.601,0.409,0.544,2.973
"193",3,"Pennsylvania","Clarion","0.126",0.81,0.412,0.409,0.553,7.925
"194",3,"Pennsylvania","Clearfield","0.142",0.78,0.542,0.383,0.495,8.041
"195",3,"Pennsylvania","Clinton","0.132",0.856,0.478,0.518,0.491,10.353
"196",3,"Pennsylvania","Columbia","0.193",0.808,0.398,0.375,0.491,3.917
"197",3,"Pennsylvania","Crawford","0.173",0.814,0.461,0.443,0.462,6
"198",3,"Pennsylvania","Cumberland","0.508",0.752,0.533,0.37,0.549,2.286
"199",3,"Pennsylvania","Dauphin","0.534",0.759,0.524,0.37,0.558,2.171
"200",3,"Pennsylvania","Delaware","0.485",0.721,0.388,0.252,0.526,0.844
"201",3,"Pennsylvania","Elk","0.11",0.745,0.354,0.572,0.562,10.912
"202",3,"Pennsylvania","Erie","0.303",0.754,0.596,0.351,0.504,3.944
"203",3,"Pennsylvania","Fayette","0.226",0.703,0.532,0.352,0.445,3.795
"204",3,"Pennsylvania","Forest","0.097",0.832,0.263,0.59,0.369,7.325
"205",3,"Pennsylvania","Franklin","0.303",0.71,0.575,0.396,0.505,3.987
"206",3,"Pennsylvania","Fulton","0.09",0.813,0.357,0.394,0.427,6.388
"207",3,"Pennsylvania","Greene","0.144",0.794,0.409,0.29,0.386,2.462
"208",3,"Pennsylvania","Huntingdon","0.102",0.847,0.478,0.486,0.525,13.197
"209",3,"Pennsylvania","Indiana","0.18",0.766,0.565,0.323,0.386,4.578
"210",3,"Pennsylvania","Jefferson","0.156",0.819,0.427,0.403,0.512,6.12
"211",3,"Pennsylvania","Juniata","0.144",0.823,0.365,0.431,0.525,6.159
"212",3,"Pennsylvania","Lackawanna","0.418",0.762,0.439,0.359,0.546,2.122
"213",3,"Pennsylvania","Lancaster","0.389",0.722,0.741,0.391,0.578,4.604
"214",3,"Pennsylvania","Lawrence","0.225",0.773,0.283,0.346,0.553,2.062
"215",3,"Pennsylvania","Lebanon","0.402",0.725,0.38,0.391,0.55,1.941
"216",3,"Pennsylvania","Lehigh","0.505",0.746,0.556,0.316,0.513,2.006
"217",3,"Pennsylvania","Luzerne","0.405",0.755,0.65,0.378,0.522,3.559
"218",3,"Pennsylvania","Lycoming","0.167",0.82,0.599,0.453,0.524,9.376
"219",3,"Pennsylvania","McKean","0.213",0.788,0.327,0.453,0.439,2.982
"220",3,"Pennsylvania","Mercer","0.238",0.786,0.448,0.389,0.521,4.025
"221",3,"Pennsylvania","Mifflin","0.161",0.747,0.332,0.466,0.512,4.842
"222",3,"Pennsylvania","Monroe","0.307",0.767,0.492,0.398,0.422,2.891
"223",3,"Pennsylvania","Montgomery","0.521",0.762,0.631,0.22,0.604,2.244
"224",3,"Pennsylvania","Montour","0.157",0.784,0.324,0.358,0.481,2.99
"225",3,"Pennsylvania","Northampton","0.5",0.754,0.522,0.32,0.509,1.865
"226",3,"Pennsylvania","Northumberland","0.189",0.758,0.418,0.348,0.475,3.492
"227",3,"Pennsylvania","Perry","0.096",0.846,0.42,0.418,0.595,12.109
"228",3,"Pennsylvania","Philadelphia","0.507",0.703,0.53,0.063,0.403,0.12
"229",3,"Pennsylvania","Pike","0.189",0.797,0.402,0.464,0.355,3.738
"230",3,"Pennsylvania","Potter","0.091",0.913,0.427,0.44,0.454,11.271
"231",3,"Pennsylvania","Schuylkill","0.244",0.766,0.617,0.365,0.508,5.37
"232",3,"Pennsylvania","Snyder","0.15",0.829,0.414,0.385,0.476,5.436
"233",3,"Pennsylvania","Somerset","0.124",0.781,0.638,0.374,0.493,11.05
"234",3,"Pennsylvania","Sullivan","0.102",0.924,0.349,0.413,0.47,7.803
"235",3,"Pennsylvania","Susquehanna","0.116",0.845,0.458,0.384,0.461,7.885
"236",3,"Pennsylvania","Tioga","0.087",0.858,0.558,0.383,0.427,12.958
"237",3,"Pennsylvania","Union","0.162",0.798,0.374,0.444,0.516,5.552
"238",3,"Pennsylvania","Venango","0.155",0.789,0.381,0.473,0.486,5.964
"239",3,"Pennsylvania","Warren","0.084",0.801,0.361,0.49,0.444,10.023
"240",3,"Pennsylvania","Washington","0.341",0.754,0.544,0.277,0.548,2.825
