tribe,time,avg_amen_rank_t1,avg_amen_rank_t2,avg_oil_avg_t1,avg_oil_avg_t2,avg_gas_avg_t1,avg_gas_avg_t2,avg_precip_t1,avg_precip_t2,avg_risk_t1,avg_risk_t2,avg_governance_t1,avg_governance_t2,avg_built_env_t1,avg_built_env_t2,avg_natural_env_t1,avg_natural_env_t2,avg_society_t1,avg_society_t2,avg_crsi_t1,avg_crsi_t2,avg_amenity_change_score,avg_oil_change_score,avg_gas_change_score,avg_precip_change_score,avg_risk_change_score,avg_governance_change_score,avg_built_env_change_score,avg_natural_env_change_score,avg_society_change_score,avg_crsi_change_score,avg_lat_t1,avg_lon_t1,avg_lat_t2,avg_lon_t2,mid_lat_t1,mid_lon_t1,mid_lat_t2,mid_lon_t2,n_record,n_unique_FIPS_t1,n_unique_FIPS_t2,avg_dist,mid_dist
San Felipe Pueblo,Time 1 and 2,5,5,96392,96392,1468871,1468871,361.46323119999994,361.46323119999994,0.14700000000000002,0.14700000000000002,0.643,0.643,0.642,0.642,0.544,0.544,0.51,0.51,11.526,11.526,0,0,0,0,0,0,0,0,0,0,35.69008867730724,-106.869263410228,35.69008867730724,-106.869263410228,35.690088677307244,-106.86926341022799,35.690088677307244,-106.86926341022799,1,1,1,0,0
San Ildefonso Pueblo,Time 1 and 2,5,5,32133.666666666668,9,489623.6666666667,0,434.4620095333333,399.582296,0.223,0.15700000000000003,0.5893333333333334,0.602,0.49666666666666665,0.592,0.5393333333333333,0.517,0.5783333333333334,0.629,8.104666666666667,10.746999999999998,0,-32124.666666666668,-489623.6666666667,-34.8797135333333,-0.06599999999999998,0.012666666666666604,0.09533333333333333,-0.022333333333333316,0.05066666666666664,2.6423333333333314,35.68830702264548,-106.38673858352453,35.50846116871701,-105.97744194618194,35.688866719774055,-106.38648193652324,35.50846116871702,-105.97744194618194,3,3,1,42.11115828223357,42.12027938331688
San Juan Pueblo,Time 1 and 2,6,6,1301294,1301294,379434796,379434796,469.7026214,469.7026214,0.134,0.134,0.6,0.6,0.619,0.619,0.5740000000000001,0.5740000000000001,0.553,0.553,13.058,13.058,0,0,0,0,0,0,0,0,0,0,36.51223998008181,-106.6936167988832,36.51223998008181,-106.6936167988832,36.512239980081816,-106.6936167988832,36.512239980081816,-106.6936167988832,1,1,1,0,0
Santa Ana Pueblo,Time 1 and 2,5,5,96392,96392,1468871,1468871,361.46323119999994,361.46323119999994,0.14700000000000002,0.14700000000000002,0.643,0.643,0.642,0.642,0.544,0.544,0.51,0.51,11.526,11.526,0,0,0,0,0,0,0,0,0,0,35.69008867730724,-106.869263410228,35.69008867730724,-106.869263410228,35.690088677307244,-106.86926341022799,35.690088677307244,-106.86926341022799,1,1,1,0,0
Santa Clara Pueblo,Time 1 and 2,6,5.333333333333333,1301294,465898.3333333333,379434796,126967889,469.7026214,410.2493828666666,0.134,0.14600000000000002,0.6,0.615,0.619,0.6176666666666667,0.5740000000000001,0.545,0.553,0.5640000000000001,13.058,11.777,-0.666666666666667,-835395.6666666667,-252466907,-59.453238533333376,0.01200000000000001,0.015000000000000013,-0.0013333333333332975,-0.029000000000000026,0.01100000000000001,-1.2810000000000006,36.51223998008181,-106.6936167988832,35.90359660870202,-106.51344071843104,36.512239980081816,-106.6936167988832,35.90421287905487,-106.51240851451222,3,1,3,69.65982404424247,69.61470329940589
Santee Sioux,Time 1 and 2,2.9555555555555557,3,357637.27777777775,0,2826546.8666666667,0,691.2240840955308,673.7263347,0.18350837988826818,0.23,0.6131843575418995,0.657,0.3511117318435754,0.41800000000000004,0.38591620111731845,0.41900000000000004,0.6202569832402235,0.6729999999999999,4.735357541899441,4.881,0.04444444444444429,-357637.27777777775,-2826546.8666666667,-17.497749395530718,0.04649162011173183,0.043815642458100545,0.06688826815642462,0.03308379888268159,0.05274301675977644,0.14564245810055887,42.98093739198474,-97.70801952424286,42.63791424676311,-97.89177843936035,NaN,NaN,42.63791424676311,-97.89177843936035,180,180,1,41.02815809349457,NaN
Satsop,Time 1 and 2,5,5,0,0,0,0,2147.2210594444446,1972.9422554999999,0.20377777777777778,0.3135,0.3831111111111111,0.41250000000000003,0.46955555555555556,0.5805,0.4598888888888889,0.45000000000000007,0.40711111111111115,0.461,3.981777777777778,5.4875,0,0,0,-174.2788039444447,0.10972222222222222,0.02938888888888891,0.11094444444444446,-0.009888888888888836,0.053888888888888875,1.505722222222222,46.5376258239211,-122.93575509599503,47.03543896295689,-123.30585866734634,46.53920758073547,-122.93268555210618,47.03642780748776,-123.30491271674522,18,9,2,62.183277670501916,62.197822962781544
Seminole,Time 1 and 2,4.666666666666667,5.25,168262.56578947368,504421.25,3459177.447368421,2382940.5,1304.9914044256757,1210.6209445,0.3229342105263158,0.39975,0.4874342105263158,0.60225,0.4756842105263158,0.4495,0.4199342105263158,0.41375,0.45026315789473687,0.394,2.2550657894736843,1.3372499999999998,0.583333333333333,336158.6842105263,-1076236.9473684211,-94.37045992567573,0.07681578947368417,0.11481578947368415,-0.02618421052631581,-0.006184210526315792,-0.05626315789473685,-0.9178157894736845,29.733462839580685,-84.51851882413993,28.706968683633388,-84.86468489639691,29.830670222231433,-84.37406307377533,28.866188593348273,-84.58690465879229,304,76,4,119.11496442175437,109.33379435701625
Seneca,Time 1 and 2,2.732394366197183,3,33912.605633802814,28059.75,2956741.5352112674,1266870.75,1002.0736822257143,1064.495421542857,0.21425352112676058,0.237125,0.7534225352112676,0.77875,0.44397183098591553,0.50075,0.3907887323943662,0.3945,0.5199154929577465,0.45162500000000005,5.51456338028169,4.605125,0.267605633802817,-5852.855633802814,-1689870.7852112674,62.42173931714274,0.022871478873239426,0.02532746478873249,0.0567781690140845,0.003711267605633839,-0.06829049295774647,-0.9094383802816894,41.51434792555825,-81.45946309931152,41.11792637241719,-82.6695610100619,41.578841647296585,-81.4868862608391,41.34127387281744,-82.91917059366757,568,70,8,110.37961990766453,122.37799174980347
Shasta,Time 1 and 2,5.3478260869565215,5.333333333333333,0,0,36967.391304347824,0,1570.8820566869565,1871.6289433333334,0.1955217391304348,0.1686666666666667,0.323,0.3396666666666667,0.5740000000000001,0.49033333333333334,0.5038695652173913,0.497,0.4747826086956522,0.44433333333333336,6.2123478260869565,4.394666666666666,-0.01449275362318847,0,-36967.391304347824,300.7468866463769,-0.026855072463768115,0.016666666666666663,-0.08366666666666672,-0.006869565217391349,-0.03044927536231884,-1.8176811594202906,44.02216239086333,-122.75305054468235,44.92690411691932,-123.53043774700905,44.025037029624805,-122.75265912537323,44.92716376695403,-123.53137387933442,69,23,3,118.1370932156233,117.94342178902482
