FIPS,clay_mean,ec_mean,ph_mean,sand_mean,soc_mean,clay_sd,ec_sd,ph_sd,sand_sd,soc_sd
01093,16.02883383951114,3.2555736188141324,51.57204016664663,39.300491889829225,26.423934804995216,2.42007767410799,2.5118910883442784,2.1432686066239275,6.178370987269693,7.815928188930035
01095,16.999849652834726,4.231527800557651,53.34180744628506,38.86135941173254,26.60514734022197,3.208781948532591,2.8852564416745983,1.9111099893288848,4.530101576735592,8.462895754827455
01097,10.734975728995279,69.51262587340732,49.696503905697,59.705322003718514,48.25451050590023,7.206641780844543,53.403289211768865,2.233830652909572,10.184500244117983,48.64060681569545
01099,14.603467968411332,7.926889948545903,50.57497408447519,55.673630246715796,27.55236066871478,5.766910865745101,4.132831377537326,1.4323767940237344,7.514238024572897,7.666074153425105
01101,19.99811151527231,4.761188898300862,54.68996960486322,53.127490158951616,24.8858488215656,6.714464010513715,3.1192560785655443,2.6384063846477126,8.590179831412943,7.236274367477436
01103,18.50116797479844,4.183024987986545,53.55222515884457,34.22278952426718,24.246929894815526,3.62160406662666,3.166436855766587,2.258535519914691,6.448084319980433,7.226895425057028
01105,22.545509170040923,4.450333456033605,53.51364679644025,45.00370807439967,28.474725548361953,11.315744783248135,3.0842057323357435,2.575013254138381,14.679711744905173,10.454766731596814
01107,16.318951113383974,5.388694666954693,51.26542227473317,36.03952722511473,25.429050702946245,6.161136422289197,3.669169230465276,2.161895206841746,8.631641793005642,7.77040539241509
01109,11.719279746938113,5.0555426810192,52.15077691389639,67.10168823795233,27.04167294300314,3.1703432062858115,3.0257917336659816,1.6267744547221599,4.889777936085672,8.318167334459375
01111,14.872052654912526,3.6679398424444973,52.832036285509666,51.43873409951233,33.839675340176655,2.3335277979497993,2.2517958015430635,1.8538585006147261,4.867492283965928,8.803468246306322
01113,12.71059505123901,3.135215228075704,52.915223833562614,65.73607820084722,26.66020447121707,3.874440216694451,2.822192818303824,1.5512204449537594,6.48052571451063,8.806260914099786
01115,15.716953539457501,4.586823635952004,52.583317526265226,43.84976962473001,29.033953582289556,2.5325630196874194,2.9475940786671337,1.9734897024673024,4.5155820324216025,8.056477965593768
01117,16.80249066614266,4.716103360188642,52.75983493810179,46.73399489094125,26.840504028296326,3.36976305814891,3.3107114709793435,1.8949421272041183,4.980685411597063,7.0392494341641925
01119,27.448331910563848,5.524286243974787,52.6893447499806,29.8522949702943,25.005919583344113,9.151662212871127,3.277734818105452,2.6290894755893355,12.06176569297796,6.078233006082018
01121,17.86091273570131,5.475265718641024,53.39355593142475,45.231869531625215,28.749639792019043,3.2122186673330653,3.4298541820513377,1.902730598434044,5.90781297042445,9.431218946425158
01123,16.628539138390334,4.665097005085704,52.70559427387455,54.84893038775126,35.08915319000081,3.080775471401415,3.7688386716928695,1.5774935767390528,5.336643240635709,10.717321230235854
01125,15.993382085595993,4.419456140556644,51.993326374309476,45.43529280679326,27.524800319020418,3.9990234875648327,3.0820633673852456,2.0256539221878573,6.911543524320175,9.829975435297786
01127,15.095536779566096,4.68648859236894,52.732742457814894,44.906649784509,31.147576030582677,2.7604528129351396,3.0091420579759127,1.9599470712828997,4.883976817603622,14.687520346699461
01129,12.957040829497053,8.547928408553112,49.359204921911974,53.2949382609818,26.325456409815143,7.215152372660759,8.614293741158486,1.508225155567868,8.06688879168382,9.19768914422615
01131,20.02908378014915,4.4907871526625565,51.11926925965384,48.463292697836074,25.675699041165274,8.337718342444488,3.0113125319525693,1.536164233237369,11.40632965780004,6.088072713871853
01133,14.867871354866246,3.9156174288547723,51.10245917073599,41.84145315775599,28.913709343342415,2.6683916658179925,2.913683198521093,2.0382134267609713,5.256200073359382,6.11270635263225
02013,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA
02016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02020,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA
02050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02060,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA
02068,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA
02070,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA
