tribe,time,avg_amen_rank_t1,avg_amen_rank_t2,avg_lat_t1,avg_lon_t1,avg_lat_t2,avg_lon_t2,mid_lat_t1,mid_lon_t1,mid_lat_t2,mid_lon_t2,n_record,n_unique_FIPS_t1,n_unique_FIPS_t2,avg_dist,mid_dist
Quileute,Time 1 and 2,5.666666666666667,5.666666666666667,47.64658373446503,-123.75534087879142,47.64658373446503,-123.75534087879142,47.64668123585442,-123.75512652656658,47.64668123585442,-123.75512652656658,9,3,3,0,0
Quinault,Time 1 and 2,5.666666666666667,5.333333333333333,47.64658373446503,-123.75534087879142,47.27378920977907,-123.3907137730152,47.64668123585442,-123.75512652656658,47.2745127090292,-123.38931643088443,9,3,3,49.752386240406985,49.74337983890327
Rogue River,Time 1 and 2,5.2631578947368425,5.333333333333333,44.523127331232075,-122.75575039980326,44.92690411691932,-123.53043774700905,44.52563782905949,-122.75562520280667,44.92716376695403,-123.53137387933442,57,19,3,75.98963654684565,75.90834302412318
S'Klallam,Time 1 and 2,5.6,5.5,47.58513877401648,-123.41917470818161,47.84161148172131,-123.28329149539057,47.586060224716135,-123.4187485247618,47.843388779945414,-123.28074695089201,10,5,2,30.310234033484132,30.45338745913654
Salish,Time 1 and 2,4.470588235294118,4.5,47.168776262258476,-113.95814211540332,47.66570879099508,-114.29966839225334,47.17629365198424,-113.94085548408684,47.666736504517154,-114.2992121559943,68,17,4,61.007280647057264,60.90317926840279
Samish,Time 1 and 2,5.5,6,48.54202570607754,-122.3667453154869,48.26442128514769,-121.74150549103203,48.54358820156584,-122.36603298820656,48.26442389445239,-121.74140104922238,4,2,2,55.588309511340995,55.647166972869215
San Felipe Pueblo,Time 1 and 2,5,5,35.69008867730724,-106.869263410228,35.69008867730724,-106.869263410228,35.690088677307244,-106.86926341022799,35.690088677307244,-106.86926341022799,1,1,1,0,0
San Ildefonso Pueblo,Time 1 and 2,5,5,35.68830702264548,-106.38673858352453,35.50846116871701,-105.97744194618194,35.688866719774055,-106.38648193652324,35.50846116871702,-105.97744194618194,3,3,1,42.11115828223357,42.12027938331688
San Juan Pueblo,Time 1 and 2,6,6,36.51223998008181,-106.6936167988832,36.51223998008181,-106.6936167988832,36.512239980081816,-106.6936167988832,36.512239980081816,-106.6936167988832,1,1,1,0,0
Santa Ana Pueblo,Time 1 and 2,5,5,35.69008867730724,-106.869263410228,35.69008867730724,-106.869263410228,35.690088677307244,-106.86926341022799,35.690088677307244,-106.86926341022799,1,1,1,0,0
Santa Clara Pueblo,Time 1 and 2,6,5.333333333333333,36.51223998008181,-106.6936167988832,35.90359660870202,-106.51344071843104,36.512239980081816,-106.6936167988832,35.90421287905487,-106.51240851451222,3,1,3,69.65982404424247,69.61470329940589
Santee Sioux,Time 1 and 2,2.9555555555555557,3,42.98093739198474,-97.70801952424286,42.63791424676311,-97.89177843936035,NaN,NaN,42.63791424676311,-97.89177843936035,180,180,1,41.02815809349457,NaN
Satsop,Time 1 and 2,5,5,46.5376258239211,-122.93575509599503,47.03543896295689,-123.30585866734634,46.53920758073547,-122.93268555210618,47.03642780748776,-123.30491271674522,18,9,2,62.183277670501916,62.197822962781544
Seminole,Time 1 and 2,4.666666666666667,5.25,29.78841757682947,-84.5714107922844,28.706968683633388,-84.86468489639691,NaN,NaN,28.866188593348273,-84.58690465879229,304,76,4,123.7102509937715,NaN
Seneca,Time 1 and 2,2.7142857142857144,3,41.515460038352394,-81.50597180158422,41.11792637241719,-82.6695610100619,41.58019923379946,-81.53393657510009,41.34127387281744,-82.91917059366757,560,70,8,106.87719746601942,118.58137049365817
Shasta,Time 1 and 2,5.3478260869565215,5.333333333333333,44.02216239086333,-122.75305054468235,44.92690411691932,-123.53043774700905,44.025037029624805,-122.75265912537323,44.92716376695403,-123.53137387933442,69,23,3,118.1370932156233,117.94342178902482
