FIPS,precip
17051,1037.791476
17053,958.4666699
21233,1175.448401
48129,602.7407135
37057,1110.918676
46013,550.4980058
45001,1143.699728
46125,666.8248846
46005,588.3095473
21033,1242.505198
46103,476.9178167
46039,659.2589089
45015,1231.185695
48019,831.4716808
42023,1118.121642
47063,1120.808619
45027,1195.136672
46087,654.6532322
46073,586.3687764
46099,675.9971647
17063,930.793117
49005,717.0271056
27079,786.2263205
51003,1139.841628
47135,1384.861316
47147,1262.771489
29009,1164.606882
51037,1123.817225
47179,1110.938085
55107,825.4378378
51013,1086.689972
45079,1139.583104
51065,1085.642172
51043,991.3826928
41067,1368.690001
27103,758.0180582
27107,602.9731999
27117,688.4745831
48055,882.8866206
51103,1146.457336
41031,537.8285328
29043,1161.371539
29057,1158.529874
42053,1156.606158
17017,980.1090354
20055,496.297585
20093,475.3024833
16051,249.0704565
13321,1238.097465
31091,540.6206345
48111,419.0362824
42069,1167.247919
42083,1161.758291
29125,1139.728624
47107,1365.580001
42093,1075.824206
39007,1069.368836
31087,533.1058664
29011,1156.020001
38017,570.0623256
34019,1251.823969
37171,1202.202621
51167,1159.097599
35021,417.528359
27151,673.4500829
55067,782.7248766
31157,390.0025749
35041,421.5239336
27097,711.2143419
51630,1060.320007
38003,529.9199226
51660,922.8199768
20013,877.3555542
56045,375.6522302
12115,1408.339408
17135,1014.782266
27017,767.3251398
27057,670.4090697
38101,437.9575998
27007,631.1455204
27001,722.3265596
26031,784.3672537
26035,824.37677
18001,963.7488855
1021,1385.205366
5127,1365.668496
19029,889.4516188
51840,974.6500244
20003,1038.534137
39099,976.1431509
19039,932.0400002
18111,972.3174982
19055,935.2944322
5149,1309.652447
39109,1018.500982
48283,592.2330691
19069,883.494545
17113,961.2645087
48311,607.4150648
39119,1006.1651
39121,1023.843227
20193,508.5695623
19101,959.131516
8105,532.2299307
19125,921.5257575
48381,509.0959174
19149,726.4802956
13081,1181.490254
19129,864.9381237
48399,629.7361802
21227,1277.214144
13103,1212.079858
19185,970.6201151
48445,482.1494617
39155,1009.531847
17035,1056.995556
13153,1185.282541
48463,674.9634425
39025,1072.190142
48483,620.1588359
13231,1227.742345
39027,1051.558226
13117,1382.375474
13113,1261.42518
13177,1243.382461
48303,506.6950003
48285,1020.751766
48321,1148.569206
5025,1359.976775
27093,734.8787615
39071,1068.642182
8091,669.045774
48397,1034.262006
39005,996.0030752
16027,250.7952936
48429,737.8729215
31005,490.6027677
28147,1593.099991
29159,1090.375941
27121,669.4253407
48363,813.6271747
13307,1260.82928
40115,1131.45203
13189,1160.56358
13175,1172.272019
55083,785.3028401
55125,793.6149716
55129,804.0914067
12031,1291.47575
39129,988.4027496
39131,1044.620691
46095,501.6733951
46119,477.5055091
39049,979.5248266
29199,975.6839992
37103,1334.139301
48029,805.1039997
48281,791.1023798
12121,1315.160652
53031,2718.10206
13019,1227.35555
56041,338.8434826
13065,1263.029061
1093,1496.620771
54093,1352.712943
51580,933.5800171
47035,1449.008252
17171,997.190251
26011,780.5705017
26119,756.735113
48113,985.7068354
47047,1370.865541
20163,611.6791556
26115,868.652841
38019,506.7013065
18069,999.0568237
20053,724.0215401
20045,985.9939251
46101,673.1497726
54109,1203.676948
1007,1404.120918
21221,1299.684567
38083,441.969644
19001,894.6165642
28105,1404.952713
48051,996.2118128
40001,1248.075357
28109,1587.020738
51550,1239.255796
19183,935.0555109
28065,1499.337856
19087,948.8068076
22091,1626.673682
18097,1076.76397
18107,1059.062894
39091,993.183424
51770,1094.014994
19115,932.9041088
55077,854.8929879
20065,569.2506916
16061,581.2256752
20101,523.0770902
20123,695.8324045
22021,1464.578357
22027,1417.544155
55043,897.9259789
51131,1094.851638
37029,1236.892337
29017,1202.881859
51830,1208.319946
29091,1173.614416
29093,1179.769353
22067,1432.766995
51800,1242.43016
29223,1195.340176
48383,452.4403581
48411,729.5674052
8043,429.8375429
48475,323.5150013
48253,651.5248914
48319,707.1195475
48335,532.6977699
8035,522.2884521
48433,617.3881554
40051,887.9406246
40017,865.9377709
40027,967.1876746
36041,1260.278786
36023,1094.920114
31071,647.3553528
36057,1023.239569
36053,1095.762845
48313,1115.314351
36017,1088.920875
48477,1053.142473
48291,1431.934529
1103,1428.851718
54009,1008.478011
39053,1048.977667
1133,1500.806003
1131,1387.249639
1107,1385.240568
54059,1160.866251
54065,969.9840018
5043,1357.211203
28119,1392.489014
29063,970.8844256
29171,1000.165897
30091,339.2169412
