FIPS,amen_region_census,amen_rural_urban,amen_urban_inf,amen_low,amen_sun,amen_high,amen_humid,amen_topo,amen_per_water,amen_log_water,amen_scale,amen_rank
48167,7,0,1,53.9,146,83.2,64,1,54.51,8.604,1.87,4
48169,7,6,6,41.2,200,82.4,37,9,0.07,1.95,1.11,4
48171,7,7,8,48.3,205,82.1,34,10,0.04,1.375,2.59,5
48173,7,8,6,43.6,216,82.3,38,2,0.02,0.692,0.23,4
48175,7,8,6,55.3,159,84.9,43,4,0.68,4.221,1.61,4
48177,7,6,4,52.9,159,84.4,43,4,0.19,2.958,0.68,4
48179,7,7,7,34.6,216,79.5,38,5,0.1,2.345,0.79,4
48181,7,3,2,41.7,162,83.6,43,4,4.65,6.143,0.78,4
48183,7,3,2,46.2,163,83.5,50,4,0.85,4.439,0.21,4
48185,7,6,6,49.2,163,83.6,50,4,0.93,4.532,0.74,4
48187,7,1,1,49.7,159,84.3,43,4,0.42,3.748,0.58,4
48189,7,4,5,38.3,216,78.9,38,2,0.01,0.09,-0.07,3
48191,7,9,9,39.7,200,83.2,37,5,0.11,2.393,0.27,4
48193,7,6,6,46.7,162,84.6,43,5,0.08,2.081,-0.65,3
48195,7,7,8,34.1,216,79.3,38,2,0.07,1.875,0.05,3
48197,7,7,8,38.9,200,84.1,37,4,0.23,3.146,0.14,4
48199,7,2,2,50.8,163,81.5,50,4,0.34,3.526,1.04,4
48201,7,0,1,52.1,146,83.3,64,1,2.75,5.617,-0.04,3
48203,7,3,2,45.4,163,83.3,50,4,1.78,5.184,0.52,4
48205,7,7,8,33.8,216,77.4,38,2,0.06,1.871,0.51,4
48207,7,7,8,42.1,200,84.3,37,9,0.8,4.383,2.04,4
48209,7,2,2,49.3,159,83.5,43,15,0.28,3.341,2.18,4
48211,7,9,9,34.6,216,79.5,38,5,0.26,3.262,1.27,4
48213,7,1,1,47.5,163,82.2,50,9,7.87,6.669,2.72,5
48215,7,2,2,59.4,149,84.9,63,2,0.87,4.462,0.46,4
48217,7,6,6,45.3,162,84.9,43,5,2.36,5.465,0.83,4
48219,7,6,5,39.1,216,79.7,38,2,0.03,1.089,0.37,4
48221,7,1,1,46.7,162,84.6,43,5,3.48,5.851,1.35,4
48223,7,6,3,43.5,163,82.3,50,4,1.01,4.619,0.17,4
48225,7,7,8,47.7,163,83.7,50,4,0.48,3.872,0.11,4
48227,7,5,7,44,216,83,38,9,0.15,2.711,2.23,4
48229,7,8,6,44.5,249,80.5,29,12,0.02,0.71,4,5
48231,7,1,1,42.4,162,83,43,4,4.63,6.138,1.05,4
48233,7,6,5,34.6,216,79.5,38,5,0.85,4.439,1.9,4
48235,7,8,6,46.4,205,84.7,34,5,0.01,0.045,0.11,4
48237,7,6,4,45.2,162,84.8,43,9,0.3,3.397,0.35,4
48239,7,6,6,53.5,146,84.4,64,1,3.22,5.774,-0.02,3
48241,7,6,6,50.8,163,81.5,50,4,3.32,5.806,2.25,4
48243,7,9,9,42.1,249,70.4,29,12,0.01,0,5.93,6
48245,7,2,2,52,146,83,64,1,18.69,7.533,1.04,4
48247,7,6,6,56.5,157,87.9,39,4,0,0,-1.01,3
