Rowid,COUNTY FIP,MIN,MAX,RANGE,MEAN,STD
251,086,1202.47998,1564.719971,362.2399902,1373.808773,78.6678933
252,501,438.5599976,473.6600037,35.1000061,453.7140004,8.550472579
253,505,469.7000122,544.7999878,75.09997559,506.5177548,16.97804213
254,369,456.9700012,507.769989,50.79998779,485.8767691,14.89239613
255,439,893.8900146,967.5100098,73.61999512,933.2300786,22.51945924
256,269,605.6599731,1231.140015,625.4800415,787.0051291,257.4916591
257,343,1181.800049,1262.670044,80.86999512,1217.34632,21.96703613
258,419,1278.109985,1364.589966,86.47998047,1338.16388,20.58188771
259,740,1190.300049,1216.619995,26.31994629,1201.858008,8.877876763
260,489,595.0900269,659.5,64.40997314,638.4733634,10.53136741
261,325,662.8800049,854.4699707,191.5899658,743.3279186,44.0314424
262,297,624.6400146,1289.859985,665.2199707,816.0136722,251.8848261
263,409,730.1599731,896.2399902,166.0800171,830.3282452,45.4120741
264,295,537.9000244,1707.719971,1169.819946,840.5869284,387.3650798
265,487,690.7199707,768.5700073,77.85003662,713.6493613,18.28485213
266,790,970.7000122,984.5599976,13.85998535,977.6300049,6.929992676
267,327,617.4000244,699.9799805,82.57995605,652.3931701,22.5347148
268,473,1101.310059,1210.709961,109.3999023,1142.103746,24.47529717
269,503,725.1699829,808.5999756,83.42999268,772.5182574,24.22018966
270,441,612.3099976,671.210022,58.90002441,646.7666668,13.1249054
271,457,1353.050049,1471.329956,118.2799072,1415.201342,32.97126411
272,447,672.3499756,736.6900024,64.34002686,698.9122366,17.74798077
273,479,493.980011,575.9799805,81.99996948,535.2039776,19.22765412
274,481,1118.030029,1206.25,88.2199707,1167.950068,21.84703816
275,650,1177.050049,1212.26001,35.20996094,1192.210008,10.92870967
276,329,360.0599976,421.7000122,61.64001465,381.9599239,15.13541025
277,595,1149.560059,1149.560059,0,1149.560059,0
278,435,514.3699951,641.4500122,127.0800171,569.5355458,30.25445705
279,341,425.4599915,518.2199707,92.75997925,460.2507696,23.317593
280,331,886.539978,960.4899902,73.95001221,912.5328787,18.12580247
281,373,1262.98999,1445.52002,182.5300293,1341.983844,36.0050553
282,423,1104.530029,1175.050049,70.52001953,1145.094349,18.43571095
283,371,303.8699951,437.2799988,133.4100037,364.6593264,27.85854538
284,491,828.75,910.75,82,882.6799392,19.17663337
285,465,369.4500122,579.0300293,209.5800171,493.8244025,46.56862216
286,333,726.039978,784.2000122,58.16003418,763.8850938,14.05629404
287,186,1071.900024,1153.619995,81.7199707,1113.281791,18.86275911
288,415,539.9199829,580.9799805,41.05999756,555.7363644,9.233952872
289,012,86.73000336,369.9599915,283.2299881,161.6722155,48.13280683
290,453,776.0599976,894.0100098,117.9500122,852.2089435,29.19834232
291,365,1250.27002,1326.680054,76.41003418,1285.96283,18.48122574
292,499,1100.97998,1155.619995,54.64001465,1122.243082,12.59216216
293,469,913.1400146,1094.75,181.6099854,1006.475239,46.28237598
294,351,1408.869995,1560.630005,151.7600098,1464.848706,34.59325344
